,city,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,Ahmedabad,5,520.71,2.38,16.28,130.18,47.68,65.96,72.13,8.36
1,Ahmedabad,5,1682.28,7.71,54.84,0.73,21.7,120.95,154.53,27.36
2,Ahmedabad,5,1815.8,16.54,49.35,0.17,23.84,133.47,172.63,28.12
3,Ahmedabad,5,2296.45,41.57,40.1,0.0,35.76,150.37,202.15,36.48
4,Ahmedabad,5,2189.64,23.92,58.95,0.02,28.13,160.79,205.8,40.53
5,Ahmedabad,5,3845.22,57.22,137.09,0.0,110.63,249.51,322.46,178.34
6,Ahmedabad,5,2883.91,27.94,98.71,0.02,84.88,232.03,281.96,96.26
7,Ahmedabad,5,1628.88,19.89,40.1,0.02,21.22,106.27,143.12,31.67
8,Ahmedabad,5,1735.69,9.28,59.63,0.59,25.99,122.37,163.42,43.06
9,Ahmedabad,5,2857.21,34.87,69.92,0.0,46.25,213.63,276.18,58.77
10,Ahmedabad,5,1762.39,6.48,67.17,1.54,28.61,145.72,184.11,38.0
11,Ahmedabad,5,540.73,0.0,16.79,91.55,21.46,84.27,89.55,3.17
12,Ahmedabad,5,1695.63,11.96,40.44,0.2,19.31,129.55,154.0,9.63
13,Ahmedabad,5,3845.22,84.04,54.15,0.0,53.88,294.44,372.0,61.81
14,Ahmedabad,5,1388.55,2.68,61.01,8.76,16.69,103.12,121.52,19.25
15,Ahmedabad,5,2323.15,39.79,46.61,0.0,22.89,154.42,203.12,24.07
16,Ahmedabad,5,807.76,0.0,28.79,53.64,18.84,82.19,92.38,14.31
17,Ahmedabad,5,640.87,0.0,14.74,72.96,14.19,75.38,85.11,12.16
18,Ahmedabad,5,727.65,0.0,17.82,66.52,14.42,86.72,99.66,14.31
19,Ahmedabad,5,654.22,0.0,14.74,76.53,13.47,79.28,89.38,12.41
